found_folder,file_name,chainid,chainname,lastupdatedate,lastupdatetime,subchainid,subchainname,storeid,bikoretno,storetype,storename,address,city,zipcode
app_data/dumps/RamiLevy,Stores7290058140886-000-20260601-050500.xml,7290058140886,רמי לוי שיווק השקמה,2026-06-01,05:05:00.343,001,1,001,6,1,תלפיות,"האומן,15",3000,9342110
,,,,,,,,002,5,,בזק מחסני מזון,יד חרוצים 18,,9342155
,,,,,,,,003,4,,רמות,90 דרך החורש,,1294800
,,,,,,,,005,2,,רב מכר,הפרסה 3,,9342263
,,,,,,,,006,1,,מישור אדומים,איתם 1,3616,9851387
,,,,,,,,007,0,,מבשרת,שדרות החוצבים 10,1015,9075517
,,,,,,,,008,9,,שער בנימין,מרכז מסחרי מטה בנמין,0,0000000
,,,,,,,,009,8,,קסיטנה,א.ת באר טוביה,1034,8381600
,,,,,,,,010,4,,מודיעין חדש,א.ת שילת,1165,7318800
,,,,,,,,011,3,,עפולה,יהושוע  חנקין 14,7700,1825416
,,,,,,,,012,2,,ביתר עלית,החוזה מלובלין 2,3780,9056702
,,,,,,,,013,1,,גבעת שאול,בית הדפוס 13,3000,9548318
,,,,,,,,014,0,,טבריה,המברג 1,6700,1433102
,,,,,,,,015,9,,נשר,דרך השלום 13,2500,3665116
,,,,,,,,016,8,,רמת גן  איילון,מבצע קדש 68,6100,5120080
,,,,,,,,017,7,,ראש העין,הזית 10,2640,4857118
,,,,,,,,019,5,,אדמרליטי,חלוצי התעשיה 73,4000,2629475
,,,,,,,,020,1,,זכרון יעקב,קניון זכרון הנשיא 35,9300,3090338
,,,,,,,,022,9,,כנפי נשרים,כנפי נשרים 26,3000,9546445
,,,,,,,,023,8,,גוש עציון,צומת גוש עציון,0,9043500
,,,,,,,,024,7,,נתניה,המחקר 3,7400,4250609
,,,,,,,,025,6,,מודעין ישפרו,החרט 1 מרכז עינב ישפרו,1200,7178426
,,,,,,,,026,5,,אשדוד,היהלומים 8,70,7761108
,,,,,,,,027,4,,באר שבע,"הע""ל 7 עמק שרה",9000,8485536
,,,,,,,,028,3,,עכו,בוליטמור 2 עין המפרץ,7600,2452002
,,,,,,,,029,2,,פרדס חנה ביג,תדהר 1,7800,3701042
,,,,,,,,030,8,,קדימה,הזרם 2,195,0000000
,,,,,,,,031,7,,נתיבות,צומת בית הגדי,246,8538500
,,,,,,,,032,6,,נהריה,היוצרים א.ת צפוני,9100,2231103
,,,,,,,,033,5,,כפר סבא,גלגלי פלדה 2,6900,4442230
,,,,,,,,034,4,,פתח תקווה,הסיבים 37,7900,4959395
,,,,,,,,035,3,,אשקלון,המתכנן 8,0,7878208
,,,,,,,,036,2,,כרמיאל,היוצרים 7,1139,2165233
,,,,,,,,037,1,,נתניה חדש,האורזים 8,7400,4201236
,,,,,,,,038,0,,קרית שמונה,איזור תעשיה צפוני קרית שמונה,2800,1102101
,,,,,,,,039,9,2,מרלוג אינטרנט,https://www.rami-levy.co.il/he,6100,''
,,,,,,,,040,5,1,יבנה,הקישון 9 קניון G,2660,8122003
,,,,,,,,041,4,,רחובות,מוטי קינד 1,8400,7638507
,,,,,,,,042,3,,לוד,שד הציונות 1,7000,7127710
,,,,,,,,043,2,,ראשון לציון,שד משה דיין מתחם סינימה,8300,7565839
,,,,,,,,044,1,,חדרה,השלום 1,6500,3846201
,,,,,,,,045,0,,בת ים,העמל 20,6200,5960705
,,,,,,,,046,9,,רעננה,{},8700,0000000
,,,,,,,,048,7,,עטרות,קניון עטרות,3000,9711471
,,,,,,,,049,6,,בית שמש,יגאל אלון 4,2610,9906204
,,,,,,,,050,2,,חולון,תמנע 6,6600,5881213
,,,,,,,,053,9,,אריאל,הבנאי 6,3570,0000000
,,,,,,,,054,8,,קרית גת,דרך הדרום 3 מרכז ביג,2630,8202102
,,,,,,,,055,7,,רמת החייל,{},5000,0000000
,,,,,,,,056,6,,אשקלון צפון,צהל 99,7100,7859323
,,,,,,,,057,5,,עזריאלי חיפה,{},4000,0000000
,,,,,,,,058,4,,חדרה ויוה,"תרנ""א 20",6500,3822726
,,,,,,,,059,3,,רמלה,שדרות הרצל 91,8500,7243003
,,,,,,,,061,8,,כרמי גת,כרמי גת,2630,0000000
,,,,,,,,062,7,,צק פוסט,בר יהודה ישראל 111,4000,3295025
,,,,,,,,063,6,,ביג באר שבע החדש,דרך חברון 21,9000,8424408
,,,,,,,,064,5,,אור עקיבא,הכרמל 1,4000,3065601
,,,,,,,,066,3,,מגדל העמק,כפר החורש,874,0000000
,,,,,,,,068,1,,יהלום נתניה,unknown,7400,
,,,,,,,,069,0,,אופקים,מנחם בגין 2,31,
,,,,,,,,070,6,,שדרות,"המשעול הל""ה 4",1031,8713001
,,,,,,,,071,5,,רמת בית שמש,שדרות נהר הירקון 38,2610,9964114
,,,,,,,,074,2,,בית שאן,unknown,9200,0000000
,,,,,,,,203,,,אילת,הזגג 11,2600,8850713
,,,,,,,,700,0,,בית הפירות פסגת זאב,שדרות משה דיין 32,3000,9757014
,,,,,,,,703,7,,בית הפירות פת,שדרות דב יוסף,,9327101
,,,,,,,,704,6,,בית הפירות בית שמש,מרכז מסחרי נוימן,2610,0000000
,,,,,,,,705,5,,בית הפירות קריית יוב,1 אורוגוואי,3000,9670101
