found_folder,file_name,chainid,lastupdatedate,subchainid,storeid,bikoretno,storetype,chainname,subchainname,storename,address,city,zipcode
app_data/dumps/Shufersal,Stores7290027600007-000-202604120201.xml,7290027600007,2026-04-12,1,1,7,1,שופרסל,שופרסל שלי,"שלי ת""א- בן יהודה",בן יהודה 79,תל אביב,6343504
,,,,,2,,,,,שלי ירושלים- אגרון,אגרון 1,ירושלים,942650
,,,,,3,,,,,שלי גבעתיים- סירקין,סירקין 17,גבעתיים,5325101
,,,,,4,,,,,שלי חיפה- כרמל,שד' הנשיא 124 מר,חיפה,3463305
,,,,,5,,,,,שלי ירושלים- יובל,אורוגאי 3,ירושלים,9670102
,,,,,7,,,,,"שלי ת""א- ארלוזורוב",ארלוזרוב 53,תל אביב,6264605
,,,,,9,,,,,שלי נתניה- ויצמן,שד' ויצמן 27,נתניה,4225012
,,,,,11,,,,,"שלי ת""א- נורדאו",אבן גבירול 157,תל אביב,6203719
,,,,7,140,,,,שופרסל אקספרס,אקספרס תל חי,,,
,,,,2,312,,,,שופרסל דיל,דיל חיפה- קרית אליעזר,ככר מאירהוף,חיפה,35154
,,,,1,313,,,,שופרסל שלי,"שלי קרית חיים-אח""י אילת","שד.אח""י אילת 20",קרית חיים,2626907
,,,,7,315,,,,שופרסל אקספרס,אקספרס כפר נטר,ההדרים 17,כפר נטר,0
,,,,1,316,,,,שופרסל שלי,שלי קרית מוצקין-שד ויצמן,ד.ויצמן 1,קרית מוצקין,2635101
,,,,7,317,,,,שופרסל אקספרס,אקספרס גבעת עדה,חי 67,גבעת עדה,
,,,,,318,,,,,אקספרס חולון - וולפסון,הלוחמים 62,חולון,
,,,,1,319,,,,שופרסל שלי,שלי עכו- שפירא,רח.משה שפירא 28,עכו,2440929
,,,,5,322,,,,Be,גן העיר תל אביב,אבן גבירול71,תל אביב,
,,,,,352,,,,,Be טייבה,מרכז שפע אנרגיה,טייבה,
,,,,2,361,,,,שופרסל דיל,דילמגדל העמק- א ת דרומי,אזור התעשייה ב,מגדל העמק,2353021
,,,,6,364,,,,יש חסד,יש חסד בית וגן,1 זנגוויל,ירושלים,
,,,,,234,,,,,יש חסד רסידו,נהר הירדן,בית-שמש,9902101
,,,,7,171,,,,שופרסל אקספרס,אקספרס אוסטשינסקי,אוסטשינסקי 15,כפר סבא,
,,,,6,73,,,,יש חסד,יש חסד אשדוד,חנה סנש 9,אשדוד,7747303
,,,,,62,,,,,יש חסד רכסים,הכלניות 49,רכסים,
