key,branches,city,example_store_name,example_address,chain,other_names
Am,23,,Am-pm  אבן גבירול,אבן גבירול 14,Dor Alon,Am-pm  הרצל | Am-pm  כל-בו שלום | Am-pm 24 שנקין
97 אינטרנט,1,,97 אינטרנט,,מחסני השוק,
AM,1,,AM-PM טירת הכרמל,מנחם בגין 53,Dor Alon,
אורות,1,,אורות - מקסים קירשבא,קניון אורות-שד הנשיא פינת קופלביץ,"פז קמעונאות ואנרגיה בע""מ",
אינטרנט,1,,אינטרנט,victoryonline.co.,ויקטורי,
אתר משנת יוסף,1,,אתר משנת יוסף,new.mishnatyosef.org,"משנת יוסף - קיי טי יבוא ושיווק בע""מ",
בת חפר,1,,בת חפר - מקסים קירשב,"כביש 5714 , בחן","פז קמעונאות ואנרגיה בע""מ",
הדרים פיקאפ,1,,הדרים פיקאפ,,מ. יוחננוף ובניו,
היוגב,1,,היוגב - אבשלום אהוד,בכניסה למושב יוגב כביש יוקנעם-מגידו,"פז קמעונאות ואנרגיה בע""מ",
זכיין,1,,זכיין - הגר קמעונאות,,"סופר ספיר בע""מ",
חדרה,1,,דיל חדרה- קניון אורות,1ניון אורות,שופרסל,
חנויות כללי,1,,סיטי מרקט - חנויות כללי,,סיטי מרקט,
חצי חינם משלוחים,1,,חצי חינם משלוחים,https://shop.hazi-hinam.co.il/,חצי חינם,
ישן,1,,יוחננוף ישן,unknown,מ. יוחננוף ובניו,
כפר,1,,כפר-תבור -אמגד עבד א,כביש 65 מרכז כפר תבור לכיוון צפון,"פז קמעונאות ואנרגיה בע""מ",
לטרון,1,,לטרון,,Dor Alon,
מורדות גילה,1,,מורדות גילה,אבנר חי שאקי 27 גילה ירושלים 27,"ג.מ. מעיין אלפיים (07) בע""מ",
מיתר,1,,שלי מיתר,מרכז מסחרי מיתר,שופרסל,
מצפה רמון,1,,מצפה רמון,הר קטום 1 בכניסה למצפה רמון - 98,Dor Alon,
מרכז רימון אלעד,1,,נטו חיסכון מרכז רימון אלעד* ת.,,"סופר ספיר בע""מ",
מתחם בית קמה,1,,מתחם בית קמה -גילי ב,צומת בית קמה,"פז קמעונאות ואנרגיה בע""מ",
מתחם גיא,1,,מתחם גיא-עירון -עבד,"כביש מגידו חדרה,נחל עירון","פז קמעונאות ואנרגיה בע""מ",
מתחם דוד ערד,1,,מתחם דוד ערד - מוחמד,3 רח שמיר א.ת בכניסה לעיר,"פז קמעונאות ואנרגיה בע""מ",
מתחם דימונה,1,,מתחם דימונה -אמנון ש,כביש בש סדום א.ת דימונה,"פז קמעונאות ואנרגיה בע""מ",
מתחם זך,1,,מתחם זך - ליאת חגג,כביש חדרה-בית ליד  (בכניסה למכללת ר,"פז קמעונאות ואנרגיה בע""מ",
מתחם חופית,1,,מתחם חופית -ניתוב- מ,כביש החוף - בכניסה לכפר ויתקין,"פז קמעונאות ואנרגיה בע""מ",
מתחם טופז,1,,מתחם טופז -שחר בוני,199 משה סנה,"פז קמעונאות ואנרגיה בע""מ",
מתחם יפעת,1,,מתחם יפעת -טלי קציר,בכניסה לקיבוץ יפעת,"פז קמעונאות ואנרגיה בע""מ",
מתחם נאות המדבר,1,,מתחם נאות המדבר -  ג,266 דרך מצדה,"פז קמעונאות ואנרגיה בע""מ",
מתחם עין,1,,מתחם עין - חצבה- יחי,כביש הערבה מושב עין חצבה,"פז קמעונאות ואנרגיה בע""מ",
מתחם פז כורדני,1,,מתחם פז כורדני - שי,שד ירושלים,"פז קמעונאות ואנרגיה בע""מ",
מתחם צפת,1,,מתחם צפת - אורלי יאו,דרך העצמאות מול תחנה מרכזית אגד,"פז קמעונאות ואנרגיה בע""מ",
מתחם קיסריה,1,,מתחם קיסריה - ניתוב,מחלף קיסריה ליד תחנת הכח,"פז קמעונאות ואנרגיה בע""מ",
מתחם קרית הממשלה,1,,מתחם קרית הממשלה- סי,8 דרך פועלי בנין,"פז קמעונאות ואנרגיה בע""מ",
מתחם קרית עקרון,1,,מתחם קרית עקרון -  נ,"המלך חסן השני, אזהת עקרון","פז קמעונאות ואנרגיה בע""מ",
מתחם ראש פינה,1,,מתחם ראש פינה - זכי,דרך הגליל ליד תחנת משטרת ראש פינה,"פז קמעונאות ואנרגיה בע""מ",
מתחם רוממה,1,,מתחם רוממה - ניתוב -,דרך פיקא צומת רופין,"פז קמעונאות ואנרגיה בע""מ",
מתחם רונית,1,,מתחם רונית -ניתוב-מש,"כביש מס 2 - כביש החוף,יציאה מהרצלי","פז קמעונאות ואנרגיה בע""מ",
מתחם שואבה,1,,מתחם שואבה - ניתוב-מ,צומת שורש כביש תא-ירושלים,"פז קמעונאות ואנרגיה בע""מ",
מתחם שוקת,1,,מתחם שוקת -גדי סופר,"צומת שוקת,קיבוץ להב","פז קמעונאות ואנרגיה בע""מ",
עין שמר,1,,BE עין שמר,מתחם עין שמר,שופרסל,
פנינת השומרון,1,,פנינת השומרון- איתן,קרני שומרון (יוש),"פז קמעונאות ואנרגיה בע""מ",
רהט,1,,דיל רהט,מרכז מסחרי רהט,שופרסל,
רמת חובב,1,,רמת חובב,"כביש בש משאבי שדה,רמת חובב","פז קמעונאות ואנרגיה בע""מ",
שהם,1,,BE שהם,הדקל 30 מתחם שוהם מרקט,שופרסל,
